Company_Name,Stock_Code,Day,WeekDay,Week,Month,Month_Name,Quarter,Opening_Value,Highest_Value,Lowest_Value,Closing_Value,Volume,Daily_Closing_Variation,Year
Alphabet Class A,GOOGL,2023-12-29,Friday,52,12,December,4,139.63,140.36,138.78,139.69,18733017,-0.3850816515724111,2023
Alphabet Class A,GOOGL,2023-12-28,Thursday,52,12,December,4,140.78,141.14,139.75,140.23,16045712,-0.0997364109140235,2023
Alphabet Class A,GOOGL,2023-12-27,Wednesday,52,12,December,4,141.59,142.08,139.886,140.37,19567216,-0.8126059920859283,2023
Alphabet Class A,GOOGL,2023-12-26,Tuesday,52,12,December,4,141.59,142.68,141.19,141.52,16780333,-,2023
Tesla,TSLA,2024-05-17,Friday,20,5,May,2,173.55,179.63,172.75,177.46,77445845,1.498512926103869,2024
Tesla,TSLA,2024-05-16,Thursday,20,5,May,2,174.1,175.79,171.43,174.84,59812220,0.4885338237829728,2024
Tesla,TSLA,2024-05-15,Wednesday,20,5,May,2,179.9,180.0,173.11,173.99,79662993,-2.005068994649396,2024
Tesla,TSLA,2024-05-14,Tuesday,20,5,May,2,174.4959,179.49,174.07,177.55,86407422,3.2928035371458635,2024
Tesla,TSLA,2024-05-13,Monday,20,5,May,2,170.0,175.4,169.0,171.89,67018903,2.0300350210719937,2024
Tesla,TSLA,2024-05-10,Friday,19,5,May,2,173.05,173.0599,167.75,168.47,72627178,-2.0352387044251903,2024
Tesla,TSLA,2024-05-09,Thursday,19,5,May,2,175.01,175.62,171.37,171.97,65950292,-1.5739468864468864,2024
Tesla,TSLA,2024-05-08,Wednesday,19,5,May,2,171.59,176.06,170.15,174.72,79969488,-1.7378100219335266,2024
Tesla,TSLA,2024-05-07,Tuesday,19,5,May,2,182.4,183.26,177.4,177.81,75045854,-3.761636717904302,2024
Tesla,TSLA,2024-05-06,Monday,19,5,May,2,183.8,187.56,182.2,184.76,84390253,1.9703074121088324,2024
Tesla,TSLA,2024-05-03,Friday,18,5,May,2,182.1,184.78,178.42,181.19,75491539,0.6555191378256802,2024
Tesla,TSLA,2024-05-02,Thursday,18,5,May,2,182.86,184.6,176.02,180.01,89148041,0.01111172842934708,2024
Tesla,TSLA,2024-05-01,Wednesday,18,5,May,2,182.0,185.86,179.01,179.99,92829719,-1.7950676560453909,2024
